views,title,channel,url
3292521,"‘공개연애 시작한‘ 프로듀스 101 출신 여돌","K-인정",https://www.youtube.com/shorts/WasNXhtTJqc
2056890,"제작진의 잘못으로 촬영중 세상을 떠난 스타 TOP4","매일한편",https://www.youtube.com/shorts/5dPy38McHuY
5766518,"자식 학벌 미쳐버린 반전 연예인 TOP7","모든정보통",https://www.youtube.com/shorts/g1vfXaPuco8
1539544,"아이돌 연습생도 '성적 본다는' 소속사","김팩트",https://www.youtube.com/shorts/eHmR37Oz4uo
1145483,"저격 당한 유튜버 근황","이게맏나",https://www.youtube.com/shorts/S2-TgmT2TUM
1601520,"의료진의 오진으로 사망한 톱스타 여배우 #이슈 #연예인 #연예뉴스","이해불가 | 연예계 이슈",https://www.youtube.com/shorts/Am_tPMj-X5s
1734671,"32강 말아먹은 홍명보호에 분노한 이경규의 한마디","스타포커스",https://www.youtube.com/shorts/HUApV6lkFMc
1556950,"500억대 자산가 김형자가 전재산 상속할 인물의 정체","라떼이슈",https://www.youtube.com/shorts/GP59dLNunDo
5957307,"최고의 팬을 만난 최고의 선수","모먼트로그",https://www.youtube.com/shorts/v5F4LiVzdIA
2090644,"도경환 장윤정이 하루에 한 번씩 하기로 약속한 것","쥰픽",https://www.youtube.com/shorts/_qL3ZIe63sE
1266528,"‘안바꿨으면 큰일날 뻔 했던’ 아이돌 안무들","K-인정",https://www.youtube.com/shorts/DWArPdMG3hA
1786502,"연상 누나들만 골라 사겼던 남자 연예인 #연예계이슈 #연예인 #이슈","이슈명탐정",https://www.youtube.com/shorts/GgynbTUbtQQ
1849532,"무자녀 연예인 부부","돋보기자",https://www.youtube.com/shorts/k9Ovr8wdlVk
1617140,"댓글창이 난리난 가수 #김나영 #봄내음보다너를 #역주행 #이진성","온더넥스트",https://www.youtube.com/shorts/2UNz3TpwOuI
2375520,"18살 나이차 극복하고 공개연애 하는 윤가이 장기하","해달특파원",https://www.youtube.com/shorts/870elwuPUuk
2240322,"전아내 위협한 장면을 방송서 자랑한 안하무인 톱배우! #연예계이슈 #연예인 #이슈","이슈찾아요",https://www.youtube.com/shorts/Xa6oNDCWCcU
1359031,"한 때 난리 났었던 립싱크 사태의 가수","가요의기록",https://www.youtube.com/shorts/5xxT1ZJYD5c
5075424,"가장 아름다운 마지막 타석","모먼트로그",https://www.youtube.com/shorts/rmohlrLOIaA
